"﻿""headline""","summary","submitDate","rating","source","upvote","downvote","deploymentArchitecture","partnerReview","submitTimestamp","user_id","user_title","user_industry","user_companySize","user_function","lessonslearned-like-most","lessonslearned-dislike-most","evaluation-contracting","why-purchase-s24","factors-drove-decision-s24","vendors-considered","integration-deployment","service-support","product-capabilities","deployment-architecture-s24","deployment-country-multi","reviewId"
"Katalon Studio a Low code & AI Native for Automation Testing.","Katalon studio is built for automation testing of web, API, Mobile and desktop application using the existing open-sourced automation frameworks. Using Katalon we can perform right testing with dynamic suite, and we can also schedule the test runs according to our choice of time.  Katalon helps to build the automation tests using low code, record and play back mode are very handy for the persons with minimum programming knowledge. We can map the automated test cases with manual test cases in one click integration to tools like JIRA and X-ray.","2023/3/4","4","Referred (colleague, friend, peer)","0","0","Hybrid Cloud and On-premises","FALSE",1677862800000,"126006480","SOFTWARE ENGINEER II","Finance (non-banking)","3B - 10B USD","Research and Development","Katalon Studio provides real time insights, test coverage with actionable insights for faster decision making. Autonomous test generation, self-healing and visual testing are key built-in solutions.","Katalon should improve its integration with the existing system, focus on scalability to get the maximum benefits from it and Regression testing analytics can be simplified.","3","Reduce time to market, Improve business process outcomes, Improve compliance & risk management, Enhance decision making, Drive revenue growth, Cost management, Improve customer relations/service, Improve supplier or partner relationships","Financial/organizational viability, Product functionality and performance, Strong customer focus, Strong services expertise","UiPath","4","3","4","Hybrid Cloud and On-premises","India|United States",4622508
"Katalon Studio :Solution Master of all technologies ","Overall experience has been good.Have been able to understand the tool and utilize it's features quickly and implement for project.","2023/2/24","5","Invited by vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1677171600000,"125577610","ASSOCIATE CONSULTANT","IT Services","500M - 1B USD","Management / Business Consulting","Easy to learn, use,suitable for all type of projects,technologies,","nothing","5","Cost management, Improve business process agility, Drive innovation, Improve business process outcomes","Strong services expertise, Product functionality and performance, Financial/organizational viability, Overall cost","Don't know","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",3534063
"""Test Your Apps""","Katalon is a great tool to test web, desktop and mobile applications, it helps us to plan and execute automated plans. We are able to balance low codes with full-code flexibility. It helps in organizing our test artifacts in one place. With one click it helps to map automated test. It also helps to detect failures as soon as possible and real time notification enables us to make better decisions. ","2023/2/13","4","Referred (colleague, friend, peer)","0","0","Hybrid Cloud and On-premises","FALSE",1676221200000,"128002220","SENIOR SOFTWARE ENGINEER","Miscellaneous","30B + USD","Research and Development","The thing I like about the product is Visual testing which helps us to scan manually and find failures from execution failures. It has high ROI. It helps to monitor testing processes and software quality in real time.","It has performance issues. Some feature are hard to use like record and playback features. Even execution tool long time","5","Improve business process outcomes, Create internal/operational efficiencies, Improve business process agility","Breadth of services, Product functionality and performance","Micro Focus, Microsoft, IBM, UiPath","5","4","5","Hybrid Cloud and On-premises","India",4593038
"Good tool for test automation.","Katalon is a good tool for automation. It works well for automating web/mobile/APIs with features record etc. It is also easy to integrate with git or Jenkins. Altogether it is all in one tool in test automation.","2023/2/9","3","Invited by Gartner (email, event, account rep)","0","0","Hybrid Cloud and On-premises","FALSE",1675875600000,"131739180","Software Engineer","Software","50M - 250M USD","IT","1. Record and run
2. Data driven
3. Object spy","1. It should support for more languages.
2. Debugging  feature is not available in free version.","4","Reduce time to market, Cost management, Improve business process agility","Strong consulting partnership, Overall cost, Strong services expertise","Don't know","3","4","3","Hybrid Cloud and On-premises","India",4589866
"Katalon: A new but popular Automation testing tool","Katalon is a Automation Testing tool and it is one of the recognized one in the industry. You can test automated test froMobile apps, Desktop apps, APIs etc and you get the record of results step wise so that you can easily analyze them. It's based on selenium engine and it's fast. You don't have write code everytime you are testing you could just reuse the scripts for UI. It's supported by major OS like Windows, Linux and macOS.","2023/2/5","5","Invited by Gartner (email, event, account rep)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1675530000000,"136110410","DATA ENGINEER","Retail","<50M USD","Data and Analytics","One of the many things that I love about Katalon is that it's based on selenium based engine and it's superfast. It makes your testing scripts reusable. It's basic verson is free for al and you can still you many of the powerful katalon features in freemium version. Also, deployment of Katalon is really easy, which I personally love a lot. Katalon also displays the reports/analytical results  in different formats like CSV, Excel, HTML or Pdf and you could easily export them too.","It's good that katalon supports groovy but the problem is that it's only support that, I understand that it's java and we have a huge java users base but I love to see the support of other programming language as well such as python or c++ etc. Katalon is relatively a new software and because of which it's user base/community is small and as a developer you can sometimes find yourself alone and that's where it's become harder to go further, but as the customer base is building it's becoming stronger and I belive that it's have a very strong community.","5","Reduce time to market, Improve customer relations/service, Improve supplier or partner relationships, Improve compliance & risk management, Improve business process agility, Enhance decision making, Create internal/operational efficiencies, Cost management","Strong customer focus, Strong services expertise, Product roadmap and future vision, Overall cost, Breadth of services, Product functionality and performance, Financial/organizational viability","HeadSpin, IBM, Inflectra, Int4, JamoSolutions, Keysight, LEAPWORK, Microsoft, Perforce, Progress, Qentinel, Qt Group, Software Testing Solutions, Subject7, Testsigma, UiPath, ZAPTEST, testRigor, Digital.ai, Cycle Labs, Copado, Autify, Applitools, ACCELQ, 3i Infotech, Micro Focus","4","5","5","Cloud (SaaS or PaaS or IaaS)","India",4584648
"Great Product for Front-End Tests","Overall Katalon is a good product. The support is also good. In my opinion there is still work to do regarding CI/CD and branch management in the terminal","2022/2/15","4","Invited by vendor (direct, user community)","0","0","On-premises","FALSE",1644858000000,"131085760","Front-end Software Engineer","IT Services","50M - 250M USD","Research and Development","Creates fast integration tests. It has a small learning curve. The browser support is very strong","If a group of people work in the same test case, then the file .project with the date and the person changes and you have to fix conflicts every time this occurs.","4","Improve business process agility, Create internal/operational efficiencies","Product functionality and performance","Sauce Labs, Code Intelligence","3","5","4","On-premises","Germany",4048580
"Katalon Studio Enterprise Edition has a really helpful ""Run Test From Here""","Really easy to use and has helped me with a few Web UI test automation","2022/2/12","5","Invited by vendor (direct, user community)","0","0","Don't know","FALSE",1644598800000,"126481000","Technical Systems Engineer","Miscellaneous","30B + USD","Research and Development","Easy to use, has data-driven capability, reliable desktop IDE, and most useful feature for me ""Run Test From Here""","Enterprise Trial License is only 30 days.  :-)","NaN","Improve business process outcomes, Improve business process agility, Reduce time to market","Product functionality and performance","UiPath, Ranorex, Copado","NaN","5","5","Don't know","United States",4042412
"Positive experience, will definitely use further","Really helpful for mobile automation, was easy to setup, found tons of useful information in tutorials","2022/2/10","4","Invited by vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1644426000000,"131014360","QA Engineer","Telecommunication","<50M USD","Research and Development","Easy setup, support","A bit difficult UI","5","Reduce time to market, Create internal/operational efficiencies, Improve customer relations/service","Strong user community, Product functionality and performance, Pre-existing relationships","Tricentis, Sauce Labs","4","4","4","Hybrid Cloud and On-premises","Canada",4036854
"Very nice Test analytical tool ","TestOps is an excellent analytical tool.I like the way they represent graphs and test case and test suit results","2022/2/7","4","Invited by vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1644166800000,"125577950","QA Manager","Miscellaneous","<50M USD","Investors","Graphical representation 
Local environment setup and test scheduler 
Bug integration with Jira tool
Flakiness tests","Sometimes environment setup does not work for the docker agent 
I cannot add more than one project under organization 
Result upload has little lag","NaN","Create internal/operational efficiencies, Cost management, Drive innovation","Overall cost, Product functionality and performance","LambdaTest, BrowserStack, UiPath, Applitools","4","4","4","Cloud (SaaS or PaaS or IaaS)","Ireland",4017892
"Product is great - support could be better","This product is decent with object recognition. It is nice that it works in java.","2022/2/7","4","Invited by vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1644166800000,"125583170","Sr. QA Team Lead","Finance (non-banking)","50M - 250M USD","Management / Business Consulting","I like the option to write code. I have never used the record/playback.","Support is extremely difficult to receive and cumbersome once received. I am a developer. I go to support only when I have searched all forums, etc. I give them dumps of information. I tell them what steps I have taken to remedy the situation. They still start at the very beginning as if I have tried nothing. Once I actually get to a skilled support person, they can solve it. It usually takes a week. Answers are received overnight...","NaN","Create internal/operational efficiencies, Improve compliance & risk management, Reduce time to market, Improve business process outcomes, Improve business process agility","Breadth of services, Overall cost, Product functionality and performance","IBM, Other...","4","2","5","Cloud (SaaS or PaaS or IaaS)","United States",4027432
"the best tool for QA","i use too much katalon, i like the tool to much. it is very intuitive, easy to use and the response it has for test cases and automations is fantastic","2022/2/2","5","Invited by vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1643734800000,"125584510","Tester Qa","Telecommunication","<50M USD","Management / Business Consulting","the power of automation and the order i can take from my test cases","in my opinion, the tool is quite good and i dont see a negative point. I quite like the product and it has helped me a lot for my task as QA","5","Drive innovation, Reduce time to market, Create internal/operational efficiencies","Strong customer focus, Product functionality and performance, Strong services expertise","AGILITEST","5","5","5","Cloud (SaaS or PaaS or IaaS)","Mexico",4017542
"Katalon is a good automation tool for smaller organizations","fairly easy to use and navigate through the different areas on left.","2022/2/2","4","Invited by vendor (direct, user community)","0","0","Don't know","FALSE",1643734800000,"130883120","Software Test Engineer","Healthcare and Biotech","<50M USD","Software Development","fairly easy to use without being a senior developer.","I'm a fairly new user, but it seems a little cumbersome when someone checks in code and for me to have the most current project I have to jump through hoops to keep what I've written without losing it.","NaN","Other...","Don't know","Don't know","3","NaN","5","Don't know","United States",4017326
"Good test automation tool. Especially for beginners!","Good Test Automation Solution!

Good tool for anyone looking at creating an automated test process from their manual testing. It offers codeless automation, so works really good with beginners and even test experts can extend the capabilities of the tool.
The tool offers end-to-end automation solution. We use it for frontend and API Testing. Using Katalon Test Ops along with Katalon Studio gives us absolute continuous testing.","2022/2/2","4","Invited by vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1643734800000,"130880350","QA","IT Services","<50M USD","Other","1. Its codeless automation capabilities
2. Integration with TestOps gives complete CI/CD integration to have an absolute continuous testing.
3. Provides end-to-end test automation.
4. Easy to use and simple installation.
5. Cross browser testing is fast and easy.","1. Scripts generation happens in Java and Groovy only.
2. No support for automating desktop applications.
3. Small support community.","4","Improve customer relations/service, Improve compliance & risk management, Improve supplier or partner relationships, Reduce time to market, Improve business process outcomes","Strong services expertise, Product functionality and performance, Breadth of services","Sauce Labs, BrowserStack","4","4","4","Cloud (SaaS or PaaS or IaaS)","United States",4016610
"Learn this tool and get the command on automation testing. ","Hides all technical complexities behind the scene for those with minimum to no programming skill set.

","2022/2/2","5","Invited by vendor (direct, user community)","0","0","On-premises","FALSE",1643734800000,"130880190","Senior Software Tester","IT Services","500M - 1B USD","Other","1. Easy to use ,Good UI and The best in the industry of Automation.
2. Easy Implementation, integration with CI/CD, Fast and reliable execution.
3. Easy start and nearly unlimited possibilities for Test Automation.","Katalon studio supports only one language which is Groovy. Its my opinion that it should support multiple language like Python, JAVA and c# etc. If it will good/feasible for blockchain testing which will be good for future of automation industry and marketing prospective.","4","Cost management, Improve customer relations/service, Other...","Overall cost, Product roadmap and future vision, Strong services expertise, Strong customer focus","BrowserStack","4","4","4","On-premises","India",4016548
"A tool for future with some added modern technology support","Need to improve user-friendliness. Need to improve UI a lot","2022/2/2","3","Invited by vendor (direct, user community)","0","0","On-premises","FALSE",1643734800000,"130880550","Quality Analyst","IT Services","50M - 250M USD","Other","Simplicity
Wide varity
Log viewer","User-friendliness","NaN","Improve business process agility, Improve business process outcomes, Improve compliance & risk management, Reduce time to market, Enhance decision making, Create internal/operational efficiencies, Cost management","Strong consulting partnership, Product functionality and performance, Overall cost, Breadth of services","Don't know","4","3","4","On-premises","India",4016638
"Good enough platform for a free version","Katalon Studio is a good enough platform for a free version","2022/2/2","3","Invited by vendor (direct, user community)","0","0","On-premises","FALSE",1643734800000,"130880130","QA Engineer","Insurance (except health)","<50M USD","Management / Business Consulting","Ability to automate API and frontend in one solution","Ability to not supply URL variables to run Jenkins","3","Create internal/operational efficiencies","Product functionality and performance","Microsoft, UiPath","4","2","3","On-premises","South Africa",4016520
"Katalon Studio - All-in-one automation tool","This is the best tool in recent times I have come across. I was working on mobile automation with Appium, but found this Katalon Studio very useful for mobile automation with Record & Run, Object Spy etc features. Also we're working on API automation POC with Ready API vs Katalon Studio and Katalon Studio much better. Overall you'll get all the automation solutions at one place i.e Web/Mobile/API automation","2022/2/2","4","Invited by vendor (direct, user community)","0","0","Don't know","FALSE",1643734800000,"112205000","Lead Automation Engineer ","IT Services","500M - 1B USD","Other","Web/Mobile/API all the automation solutions at one place which is really good","Katalon studio debugging feature should be available with free version as well. Also it need to install Android SDK again in Katalon Studio. Katalon should be able to locate the Android SDK automatically if it is already installed on your machine. It should be able to launch Android emulators automatically when we run the tests.Currently we need launch the emulators manually before running the mobile automation tests on android.","NaN","Other...","Strong user community","SmartBear","NaN","NaN","4","Don't know","India",4016486
"Quick and Fast testing","It was a nice product to use for the web services and micro services testing","2022/2/2","4","Invited by vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1643734800000,"130880110","Senior Software Engineer","IT Services","500M - 1B USD","Software Development","the tools it provide","the product is little complex","4","Improve compliance & risk management, Improve customer relations/service, Improve supplier or partner relationships, Reduce time to market, Cost management, Create internal/operational efficiencies, Enhance decision making, Improve business process outcomes","Strong user community, Strong customer focus, Strong consulting partnership, Overall cost","Alithya, ACCELQ, BrowserStack, Code Intelligence, Geniusee, Inflectra, LambdaTest","5","5","5","Hybrid Cloud and On-premises","India|United States|Australia|South Africa",4016516
"Great test automation tool","I use Katalon Studio from years. Every new release has somehing useful thay was needed.","2022/2/2","5","Invited by vendor (direct, user community)","0","0","On-premises","FALSE",1643734800000,"121850760","ICT Senior Application Specialist","Manufacturing","10B - 30B USD","IT","The flexibility of test
The friendly user interface
The power of interaction","Some blocks in automation due to source limit
","NaN","Improve business process agility, Create internal/operational efficiencies, Reduce time to market","Strong services expertise, Product roadmap and future vision, Product functionality and performance","QATestLab, IBM","5","4","5","On-premises","Italy",4016478
"Good tool for test automation in the web and API space","Katalon is a good tool for test automation, both for APIs and Webpages. Sometimes however tests break (especially those related to web testing) without a clear reason behind.","2022/1/28","4","Invited by Gartner (email, event, account rep)","0","0","On-premises","FALSE",1643302800000,"130822140","Engineering Program Manager","Hardware","30B + USD","Project and Portfolio Management","1.) ease of use 
2.) integration with Build Pipeline (bamboo) is possible 
3.) data driven testing is well supported","* Some aspects of the IDE are not state of the art, e.g. you cannot copy/paste a whole row in a table, you need to do it cell-by-cell
* default settings favor newbies, but it is hard to switch 
* a bit unclear what gets shared with the vendor ","4","Create internal/operational efficiencies","Strong customer focus, Product functionality and performance","Ranorex, Other...","4","4","4","On-premises","Austria",4007866
"Rich, Better Quality, All-in-One Productivity Tool for Automating Repetitive Processes","So far , I had an excellent experience working with Katalon Studio. It makes very comfortable for test automation specialists like me to quickly design, automate & execute different test scripts without any hassle. ","2022/1/19","4","Invited by Gartner (email, event, account rep)","0","0","On-premises","FALSE",1642525200000,"125596600","Software Tester","IT Services","50M - 250M USD","Other","It is even flexible enough to allow advanced users to pretty much set up how they please at the same time containing all the base needs for the new users. Test collections and suites enable enterprise-level testing by permitting users to perform various tests in parallel or series with multiple browser configuration.","limitation over scripting language, unlike other tools.
Should be integrated with other tools for performance testing.","NaN","Improve business process outcomes, Improve compliance & risk management, Improve customer relations/service, Reduce time to market, Improve business process agility, Enhance decision making","Product roadmap and future vision, Strong services expertise, Product functionality and performance, Breadth of services","UiPath, LambdaTest","5","4","4","On-premises","India",3982106
"Advanced Test Automation Tool with Low Cost.","The Product is Fit all trypes of applications on the Digital side. The team is very supportive and responsive. The learning curve for the tool is also less.","2021/3/16","5","Invited by Vendor (direct, user community)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1615827600000,"126135850","GM Strategic Alliances","Banking","50M - 250M USD","Sales and Business Development","Some of the Features like self healing and scrptless are really good and easy to use. the mobile Testing framework is also good.","I would not say dislike but there are certain GAPs like doesnt support Mainframe. Dont have a TRC yet.But the good part is the company is receptive to the","5","Cost management, Drive innovation, Improve customer relations/service, Create internal/operational efficiencies","Product functionality and performance, Product roadmap and future vision","Micro Focus, SmartBear, Tricentis","5","5","5","Cloud (SaaS or PaaS or IaaS)","India",3556320
"Katalon Studio: Silver Bullet? Of course, no; One-Stop Shop solution? It's more like it","My experience with Katalon Studio was to streamline test automation across multiple platforms. The costs of maintenance of multiple frameworks, CI/CD solutions and automation scripts ultimately resulted in an heavy toll. Even if a solution is free (as, free software, open source), the person/hours of work to personalize a solution to your needs aren't liable to be ignored.","2021/3/10","5","Invited by Vendor (direct, user community)","0","0","Hybrid Cloud and On-premises","FALSE",1615309200000,"125580860","QA Analyst","IT Services","<50M USD","Software Development","It's easy to streamline a complete test automation solution using the platform.","Like all test automation use, it's a steep curve to adapt to its mindset: of migrating from ""developers test first, QA test later"" to ""continous testing, suported by test scripts"".

This is hardly the fault of the solution - only that the actual use of the solution isn't as easy as advertised.","3","Cost management, Improve business process outcomes, Create internal/operational efficiencies","Product functionality and performance, Breadth of services, Strong customer focus","Sauce Labs, QATestLab, Microsoft","5","3","4","Hybrid Cloud and On-premises","Brazil",3534260
"Simple and powerful automation Solution","You can automate any web application using Katalon Studio. It is highly efficient in creating the automation script for mobile, web applications. Additionally, it works really well with web services API. It’s an evolving solution with many integrations that allow you to cover a variety of testing types.","2021/3/5","4","Invited by Gartner (email, event, account rep)","0","0","Hybrid Cloud and On-premises","FALSE",1614877200000,"125736760","Analyst","IT Services","250M - 500M USD","Other","It handles the wait-time issues efficiently. The biggest advantage is that you don’t need to write any code to run test scripts in different browsers. It seamlessly integrates with CI tool Jenkins. Katalon Studio has done a great job by creating a GUI using which we can create test scripts very easily without having programming experience. ","Sometimes it becomes challenging to identify the deeply nested elements.  It doesn’t give many options for scripting languages. Documentation is too long, complicated, and causes confusion as it’s not updated along with new version releases. There are performance issues at times.","4","Drive innovation, Improve business process outcomes, Create internal/operational efficiencies, Cost management, Improve customer relations/service, Enhance decision making","Overall cost, Strong user community, Product functionality and performance, Breadth of services","Worksoft, Microsoft, Tricentis","4","5","5","Hybrid Cloud and On-premises","India",3549327
"Building automated test processes","Katalon is a perfect solution for automating test processes and increase functional capability in the team for test environments present in the system.","2021/3/1","4","Invited by Gartner (email, event, account rep)","0","0","Cloud (SaaS or PaaS or IaaS)","FALSE",1614531600000,"125785290","Test Engineer","IT Services","10B - 30B USD","Data and Analytics","We liked that the service gives us an extra freedom to spend good amount to time for development.","The tool isn't comprehensive and team needs to work on to Improve it.","NaN","Drive innovation, Improve compliance & risk management","Strong services expertise, Financial/organizational viability","IBM","4","5","4","Cloud (SaaS or PaaS or IaaS)","India",3545473
